epoch, batch, loss, loss_bader, loss_e, bader_mae, bader_rmse, e_mae, e_rmse
    2,    33,           7.8678,           7.8674,       0.00040398,           7.8674,           8.3964,           37.183,           44.984
    2,    34,           7.3424,            7.342,       0.00041291,            7.342,           7.7507,           34.241,           39.668
    2,    35,           7.9103,           7.9101,       0.00022888,           7.9101,           8.5999,           15.933,           17.096
    2,    36,           7.1376,           7.1372,       0.00035546,           7.1372,           8.9016,           22.551,           30.032
    2,    37,           8.5242,           8.5239,       0.00024193,           8.5239,           8.9376,           11.805,           16.174
    2,    38,           8.2176,           8.2174,       0.00016157,           8.2174,           8.3595,           33.047,           68.511
    2,    39,           6.2583,           6.2581,       0.00018549,           6.2581,           6.8442,           37.416,           44.804
    2,    40,           8.3538,           8.3535,       0.00034992,           8.3535,           9.5068,           17.245,           19.446
    2,    41,           8.3474,           8.3472,       0.00011023,           8.3472,           9.1036,           17.627,            21.21
    2,    42,           6.0556,           6.0555,       0.00016255,           6.0555,           6.9318,           23.048,           26.567
    2,    43,           10.754,           10.754,       7.6767e-05,           10.754,           11.343,           19.937,            28.31
    2,    44,           11.278,           11.278,       0.00034828,           11.278,             11.8,           49.258,           73.226
    2,    45,           7.3745,           7.3741,       0.00038916,           7.3741,           8.4846,           21.677,           25.462
    2,    46,           6.5476,           6.5473,       0.00026431,           6.5473,           7.5306,            65.37,           77.942
    2,    47,           8.4257,           8.4254,       0.00032803,           8.4254,           9.3179,           36.587,           46.295
    2,    48,           7.2411,            7.241,       7.9843e-05,            7.241,           8.2408,           19.284,           34.443
    2,    49,           9.3117,           9.3113,       0.00033726,           9.3113,           10.219,           21.993,           26.488
    2,    50,            8.782,           8.7815,       0.00051933,           8.7815,           9.7123,           26.516,           31.313
    2,    51,            7.991,           7.9908,       0.00026608,           7.9908,           8.6381,           26.637,           28.205
    2,    52,            6.989,           6.9889,       5.6591e-05,           6.9889,           8.2094,           19.645,           25.292
    2,    53,           6.4773,            6.477,       0.00032616,            6.477,           6.8339,           37.531,           59.926
    2,    54,           5.5043,           5.5042,         0.000124,           5.5042,           6.6586,            35.05,           44.657
    2,    55,           10.332,           10.331,       0.00044003,           10.331,           10.823,           24.429,           33.519
